MovieName,Genre,Duration,AgeRestriction,ShowTime,NumberOfTickets,Price
Bhahubali,Drama,2:45,15,11:00;2:45;6:00;9:00,100,150.00
RRR,Action,3:06,18,10:00;1:30;5:00;8:30,100,250.00
Pushpa,Action,2:55,18,10:00;1:15;4:45;8:00,100,300.00
Ala Vaikunthapurramuloo,Romance,2:45,12,9:30;12:45;3:30;6:45,100,200.00
Jersey,Sports,2:40,12,10:00;1:15;4:30;7:45,100,150.00
Kantara,Drama,2:30,14,11:15;2:30;6:00;9:15,100,250.00
Eega,Fantasy,2:25,10,10:00;1:00;4:00;7:00,100,300.00
Sita Ramam,Romance,2:43,12,10:30;1:30;4:30;7:30,100,200.00
Major,Biography,2:29,15,11:00;2:00;5:00;8:00,100,150.00
Goodachari,Thriller,2:24,16,9:45;12:45;3:45;6:45,100,250.00
Avatar,Fantasy,2:42,13,10:00;1:15;4:30;7:45,100,300.00
Inception,Sci-Fi,2:28,16,9:30;12:30;3:30;6:30,100,200.00
Interstellar,Sci-Fi,2:49,13,10:15;1:15;4:15;7:15,100,150.00
The Dark Knight,Action,2:32,15,9:00;12:00;3:00;6:00,100,250.00
Titanic,Romance,3:14,12,10:30;1:30;4:30;7:30,100,300.00
Avengers: Endgame,Action,3:01,13,11:00;2:00;5:00;8:00,100,200.00
Spider-Man: No Way Home,Action,2:28,12,10:00;1:00;4:00;7:00,100,150.00
The Lion King,Animation,1:58,8,9:00;11:30;2:00;4:30,100,250.00
Finding Nemo,Animation,1:40,6,10:00;12:00;2:00;4:00,100,300.00 
Frozen,Animation,1:42,6,9:30;11:45;2:00;4:15,100,200.00
